PMC6613603	R02006	98	136	FA 7:0;3(2:0;2Me);6oxo
PMC6027507	R03011	20	35	FA 12:0
PMC6756100	R05006	77	92	FA 12:0
PMC5357680	R02039	105	123	FA 20:2
PMC6292875	M04000	259	274	FA 20:0
PMC3040193	R05024	180	195	FA 20:0
PMC5431835	M14009	94	109	FA 20:0
PMC3615021	R02002	271	286	FA 20:0
PMC5357680	R02028	150	171	FA 20:5
PMC4409424	R00013	168	189	FA 20:5
PMC3741366	A00003	191	212	FA 20:5
PMC3321123	D00025	240	261	FA 20:5
PMC6572825	R02009	189	210	FA 20:5
PMC6756100	R05006	174	195	FA 20:5
PMC3321123	D00026	93	114	FA 20:5
PMC5402394	R01028	132	153	FA 20:5
PMC6572825	A00007	38	59	FA 20:5
PMC6877605	R05001	108	129	FA 20:5
PMC6948762	D00029	126	147	FA 20:5
PMC3590212	R01015	30	51	FA 20:5
PMC4688025	D00007	72	93	FA 20:5
PMC6877605	D05010	27	48	FA 20:5
PMC6877605	A00008	146	167	FA 20:5
PMC3426673	R07018	76	97	FA 20:5
PMC3426673	A00004	124	145	FA 20:5
PMC5800830	R00024	64	85	FA 20:5
PMC6877605	D05007	26	47	FA 20:5
PMC6416208	A00003	114	135	FA 20:5
PMC5402394	R02005	87	108	FA 20:5
PMC5371670	D02025	335	356	FA 20:5
PMC5800830	D00012	204	225	FA 20:5
PMC2826632	M00012	51	72	FA 20:5
PMC4667423	A00000	29	50	FA 20:5
PMC4198093	M07009	105	126	FA 20:5
PMC6877605	D04001	105	126	FA 20:5
PMC6877605	R01015	423	444	FA 20:5
PMC5357680	A05001	335	356	FA 20:5
PMC6877605	D05011	6	27	FA 20:5
PMC6875220	R00038	205	226	FA 20:5
PMC5278923	A02002	63	84	FA 20:5
PMC5278923	R01017	174	195	FA 20:5
PMC6877605	R03003	423	444	FA 20:5
PMC4778071	D01010	154	175	FA 20:5
PMC6756100	R02005	214	235	FA 20:5
PMC6238211	R00019	23	44	FA 20:5
PMC4198093	M05018	105	126	FA 20:5
PMC6877605	D05006	63	84	FA 20:5
PMC3321123	D00027	25	46	FA 20:5
PMC5357680	R02039	203	224	FA 20:5
PMC5564526	D00054	74	95	FA 20:5
PMC4667423	A06000	0	21	FA 20:5
PMC5156423	R02002	145	166	FA 20:5
PMC4481449	R03009	28	49	FA 20:5
PMC5008363	D00006	103	124	FA 20:4
PMC6692400	D00031	151	170	FA 20:3
PMC6315767	D00035	46	65	FA 20:3
PMC6315767	A00004	118	137	FA 20:3
PMC6315767	D00034	62	81	FA 20:3
PMC6342642	R03028	189	208	FA 20:3
PMC5008363	D00042	47	66	FA 20:3
PMC5357680	R02039	138	157	FA 20:3
PMC6692400	D00027	199	218	FA 20:3
PMC6315767	R01053	72	91	FA 20:3
PMC6029417	R01012	178	191	FA 2:0
PMC6029417	R02006	90	103	FA 2:0
PMC6016785	R01009	71	80	FA 16:0
PMC3837557	R01000	125	134	FA 18:0
PMC6016785	R01008	228	237	FA 18:1
PMC4784901	D00052	28	37	FA 18:3
PMC4784901	R01015	125	134	FA 18:3
PMC6016785	D00011	15	24	FA 20:4
PMC4784901	R01017	67	76	FA 20:4
PMC4784901	R01016	36	45	FA 20:4
PMC6016785	R01021	120	129	FA 20:4
PMC6016785	R01008	70	79	FA 20:4
PMC4784901	D00046	38	47	FA 22:3
PMC4784901	A00010	55	64	FA 22:3
PMC4784901	A00007	31	40	FA 22:3
PMC4784901	R04015	76	85	FA 22:3
PMC4784901	D00045	73	82	FA 22:3
PMC4784901	R04016	33	42	FA 22:3
PMC4784901	A00006	111	120	FA 22:3
PMC7118049	R00015	32	39	FA 12:0
PMC4824825	R09008	61	68	FA 16:0
PMC4824825	R09012	149	156	FA 16:0
PMC4824825	R06053	149	156	FA 16:0
PMC4824825	R06049	61	68	FA 16:0
PMC4824825	R09007	138	145	FA 16:1
PMC4824825	R06048	138	145	FA 16:1
PMC5933795	R03003	89	96	FA 16:2
PMC3928122	R05040	86	93	FA 17:0
PMC6325166	R04040	70	77	FA 18:1
PMC6381113	R04006	25	32	FA 18:1
PMC6325166	R05021	143	150	FA 18:1
PMC6325166	M03007	4	11	FA 18:1
PMC6014920	R04001	198	205	FA 18:2
PMC6762021	R02009	49	56	FA 18:2
PMC4784901	R02005	22	29	FA 20:4
PMC6764690	R01004	49	57	FA 14:0
PMC6764690	D00004	51	59	FA 14:0
PMC3206149	R06014	56	64	FA 15:0
PMC3206149	R09000	57	65	FA 15:0
PMC3206149	R06003	143	151	FA 17:0
PMC6764690	R03002	31	39	FA 18:0
PMC6764690	R01004	87	95	FA 18:0
PMC6764690	D00004	89	97	FA 18:0
PMC3206149	R06014	66	74	FA 20:4
PMC3271168	R01012	227	235	FA 20:4
PMC3206149	R09000	67	75	FA 20:4
PMC3206149	R06014	76	84	FA 22:6
PMC3206149	R09000	77	85	FA 22:6
PMC3206149	R06006	53	61	FA 24:0
PMC3206149	R06014	86	94	FA 24:0
PMC3206149	R09000	87	95	FA 24:0
PMC3206149	R06005	112	120	FA 24:0
PMC3206149	R06014	99	107	FA 24:1
PMC3206149	R06006	82	90	FA 24:1
PMC3206149	R09000	100	108	FA 24:1
PMC3206149	R06005	141	149	FA 24:1
PMC6274842	R04005	185	214	HexCer 18:1;O2/16:0
PMC6274842	R00018	221	250	HexCer 18:1;O2/16:0
PMC5315374	R01005	150	164	GM3 18:1;O2/24:1
PMC5315374	R01007	67	81	GM3 18:1;O2/24:1
PMC5315374	R01007	90	104	GM3 18:1;O2/26:0
PMC5315374	R01005	326	340	GM3 18:1;O2/26:0
PMC6585800	R03006	48	63	GM3 18:1;O2/22:0
PMC6585800	R03004	250	265	GM3 18:1;O2/24:1
PMC6839420	D00023	235	253	FA 17:0
PMC4829699	M01001	272	290	FA 17:0
PMC4756382	M02001	82	100	FA 17:0
PMC5250582	R00007	88	106	FA 17:0
PMC4784901	R05008	35	53	FA 17:0
PMC5431835	M14009	54	72	FA 17:0
PMC5693892	M09001	52	70	FA 17:0
PMC5836369	M00033	173	191	FA 17:0
PMC3206149	M06013	71	89	FA 17:0
PMC3206149	M06003	103	121	FA 17:0
PMC5610547	R08000	343	361	FA 17:0
PMC6592169	M04003	128	146	FA 17:0
PMC6935851	M03003	98	116	FA 17:0
PMC5836369	M03013	173	191	FA 17:0
PMC4849136	M01000	154	172	FA 17:0
PMC5610547	R06009	343	361	FA 17:0
PMC3206149	R06003	123	141	FA 17:0
PMC6839420	D00026	138	156	FA 17:0
PMC3734953	M00003	259	277	FA 17:0
PMC5552325	M02005	114	132	FA 17:0
PMC6592169	R06017	94	112	FA 17:0
PMC3134066	M00014	130	148	FA 17:0
PMC6027507	A00005	128	146	FA 17:0
PMC4829699	M02009	62	80	FA 17:0
PMC5902797	M01000	164	182	FA 17:0
PMC3206149	M01003	22	40	FA 17:0
PMC6839420	A00009	161	179	FA 17:0
PMC3134066	M02001	130	148	FA 17:0
PMC6027507	M02000	31	49	FA 17:0
PMC6839420	D00032	0	18	FA 17:0
PMC4101505	M01010	0	18	FA 17:0
PMC6839420	R04009	218	236	FA 17:0
PMC6029417	R01012	240	248	FAL 7:0
PMC4055632	R04005	26	34	FAL 7:0
PMC6029417	D00010	217	225	FAL 7:0
PMC3596408	D00002	227	235	FAL 7:0
PMC6029417	R02011	52	60	FAL 7:0
PMC6029417	R02006	126	134	FAL 7:0
PMC6592169	R04008	256	273	FA 6:0;COOH
PMC3933977	R01059	62	76	FA 7:0
PMC6292875	M04000	291	305	FA 7:0
PMC5007069	R00038	0	20	FA 15:0;COOH
PMC5415862	R01008	373	390	FA 16:0
PMC5304209	D01003	17	34	FA 16:0
PMC3734953	R09030	269	286	FA 16:0
PMC6826420	A00008	63	80	FA 16:0
PMC5940703	R04039	0	17	FA 16:0
PMC5940703	R01060	0	17	FA 16:0
PMC4588809	R03010	32	49	FA 16:0
PMC5980850	R01001	128	135	FAL 6:0
PMC5980850	D00043	150	157	FAL 6:0
PMC6029417	R02006	117	124	FAL 6:0
PMC5980850	D00033	27	34	FAL 6:0
PMC6029417	R01012	200	207	FAL 6:0
PMC5980850	A02001	132	139	FAL 6:0
PMC6029417	D00022	64	71	FAL 6:0
PMC6029417	R02011	43	50	FAL 6:0
PMC5980850	D00010	178	185	FAL 6:0
PMC6117359	R10010	0	7	FAL 6:0
PMC5980850	D00034	0	7	FAL 6:0
PMC3854141	D00051	39	55	FA 5:0;COOH
PMC3854141	R01005	158	174	FA 5:0;COOH
PMC6592169	R04001	193	209	FA 5:0;COOH
PMC6592169	R05003	199	215	FA 5:0;COOH
PMC6592169	R06017	167	183	FA 5:0;COOH
PMC5882858	D01014	36	49	FA 6:0
PMC6292875	R02000	203	216	FA 6:0
PMC6292875	M04000	276	289	FA 6:0
PMC6292875	R02005	90	103	FA 6:0
PMC5882858	D01011	43	56	FA 6:0
PMC5882858	R00040	452	465	FA 6:0
PMC6345099	R01011	89	102	FA 6:0
PMC3596408	D00003	110	123	FA 6:0
PMC5693892	R05005	86	99	FA 6:0
PMC6617423	R05007	13	32	LacCer 18:1;O2/16:0
PMC6617423	D00025	24	43	LacCer 18:1;O2/16:0
PMC6617423	D00021	19	38	LacCer 18:1;O2/16:0
PMC6617423	D00006	57	76	LacCer 18:1;O2/16:0
PMC2874689	R04015	0	13	FA 18:2
PMC5681629	D02000	0	13	FA 18:2
PMC6292875	M04000	594	607	FA 18:2
PMC4633772	R00028	0	13	FA 18:2
PMC2874689	R04002	0	13	FA 18:2
PMC2874689	R04013	0	13	FA 18:2
PMC4037179	D02012	0	13	FA 18:2
PMC4756382	D00024	0	13	FA 18:2
PMC3979816	D02006	0	13	FA 18:2
PMC5564624	D00016	71	85	LPA 0:0/16:0
PMC6877605	R01015	647	657	LPA 16:0
PMC6736851	R00021	265	275	LPA 16:0
PMC6877605	R03003	647	657	LPA 16:0
PMC5564624	D00016	52	66	LPA 16:0/0:0
PMC6877605	R05001	131	141	LPA 18:1
PMC6877605	A00010	60	70	LPA 18:1
PMC6877605	R03003	671	681	LPA 18:1
PMC6877605	R01015	671	681	LPA 18:1
PMC6877605	D06014	28	38	LPA 18:1
PMC4688025	R02001	313	335	LPA 18:2(9Z,12Z)/0:0
PMC4688025	D00029	80	102	LPA 18:2(9Z,12Z)/0:0
PMC5133601	R02001	14	24	LPA 18:2
PMC3206149	R11001	37	46	LPA 16:0
PMC3206149	M05000	0	9	LPA 16:0
PMC3206149	R06009	362	371	LPA 16:0
PMC3206149	D00022	81	90	LPA 16:0
PMC3206149	R11006	90	99	LPA 16:0
PMC3206149	R06009	209	218	LPA 16:0
PMC3206149	R11002	20	29	LPA 16:0
PMC3206149	D00021	68	77	LPA 16:0
PMC3206149	D00022	48	57	LPA 16:0
PMC3206149	A00006	179	188	LPA 16:0
PMC3206149	D00009	316	325	LPA 16:0
PMC3206149	M05004	22	31	LPA 16:0
PMC3206149	D00009	415	424	LPA 16:0
PMC3206149	M01001	174	187	LPA 16:0/0:0
PMC3206149	R06009	195	204	LPA 17:0
PMC3206149	M05003	0	9	LPA 17:0
PMC3206149	M05004	44	53	LPA 17:0
PMC3206149	M01001	189	202	LPA 17:0/0:0
PMC4688025	R03003	256	277	LPA 18:2(9Z,12Z)/0:0
PMC4688025	R03008	22	43	LPA 18:2(9Z,12Z)/0:0
PMC5564624	R03001	62	72	LPC 16:0
PMC3419576	D00012	137	147	LPC 16:0
PMC3419576	D00039	225	235	LPC 16:0
PMC5068821	D00005	22	32	LPC 16:0
PMC5514249	D00003	47	61	LPC 16:0/0:0
PMC6416286	R07006	30	40	LPC 16:1
PMC5810980	D00042	187	197	LPC 16:1
PMC6416286	R07003	105	115	LPC 16:1
PMC6416286	D00041	10	20	LPC 16:1
PMC6416286	R06001	0	10	LPC 16:1
PMC6416286	R08004	47	57	LPC 16:1
PMC6416286	R07008	13	23	LPC 16:1
PMC6416286	R08004	35	45	LPC 17:1
PMC3419576	D00012	113	123	LPC 18:0
PMC5564624	R03001	74	84	LPC 18:0
PMC3419576	D00039	237	247	LPC 18:0
PMC6934557	R04022	121	131	LPC 18:1
PMC6934557	R04023	41	51	LPC 18:1
PMC5810980	D00042	199	209	LPC 18:1
PMC3419576	D00012	125	135	LPC 18:1
PMC6477036	R03003	63	73	LPC 18:2
PMC6477036	R04003	0	10	LPC 18:3
PMC5095026	R01007	32	42	LPC 20:0
PMC5810980	D00043	8	18	LPC 20:4
PMC5133601	D00018	125	135	LPC 22:5
PMC6477036	R04012	32	42	LPC 22:6
PMC6930386	D00024	32	40	LPC 16:1
PMC6938899	D01017	121	129	LPC 17:0
PMC6400388	M04007	111	119	LPC 17:1
PMC6938899	R04003	0	8	LPC 18:1
PMC6938899	R04013	0	8	LPC 18:3
PMC6114786	D00026	118	126	LPC 20:0
PMC6938899	R04011	43	51	LPC 20:3
PMC5585246	R03027	137	150	LPC 0:0/16:1
PMC3206149	R04008	47	56	LPC 14:0
PMC5068821	R01008	359	368	LPC 14:0
PMC5068821	R02007	188	197	LPC 14:0
PMC3206149	R00027	39	48	LPC 14:0
PMC6477036	D00031	95	104	LPC 14:0
PMC3206149	R00032	41	50	LPC 14:0
PMC3206149	R03003	41	50	LPC 14:0
PMC3206149	R02003	39	48	LPC 14:0
PMC3206149	M01001	129	142	LPC 14:0/0:0
PMC6477036	R04010	24	33	LPC 15:0
PMC3206149	M01001	144	157	LPC 15:0/0:0
PMC5068821	R01008	322	331	LPC 16:0
PMC5564624	R02005	68	77	LPC 16:0
PMC5068821	R02007	152	161	LPC 16:0
PMC3206149	R00032	52	61	LPC 16:0
PMC6477036	R05009	24	33	LPC 16:0
PMC5068821	R01004	186	195	LPC 16:0
PMC3206149	R04011	66	75	LPC 16:0
PMC3206149	R04010	67	76	LPC 16:0
PMC3206149	R03003	52	61	LPC 16:0
PMC6477036	R05008	122	131	LPC 16:0
PMC6585800	D00037	127	136	LPC 16:0
PMC3206149	M01001	159	172	LPC 16:0/0:0
PMC3206149	R04012	27	36	LPC 16:1
PMC6477036	D00024	77	86	LPC 17:0
PMC6477036	R03002	38	47	LPC 17:0
PMC5323494	D00025	0	9	LPC 17:0
PMC5564624	R02005	79	88	LPC 18:0
PMC3206149	R04013	28	37	LPC 18:0
PMC3206149	D00017	166	175	LPC 18:0
PMC6477036	R03002	67	76	LPC 18:0
PMC3206149	M01001	204	217	LPC 18:0/0:0
PMC3206149	R04014	0	9	LPC 18:1
PMC4013650	R01006	204	213	LPC 18:1
PMC3206149	R00032	63	72	LPC 18:1
PMC4013650	R01013	15	24	LPC 18:1
PMC3206149	R03003	63	72	LPC 18:1
PMC3206149	M01001	223	236	LPC 18:1/0:0
PMC6477036	D00024	137	146	LPC 18:2
PMC6477036	R05009	93	102	LPC 18:2
PMC4013650	R01011	52	61	LPC 18:2
PMC3206149	R04015	28	37	LPC 18:2
PMC4013650	R01006	193	202	LPC 18:2
PMC6585800	D00037	84	93	LPC 18:2
PMC5564624	R02005	90	99	LPC 18:2
PMC3206149	R04017	28	37	LPC 18:3
PMC5068821	R02007	226	235	LPC 18:3
PMC6426235	M06004	205	214	LPC 19:0
PMC6477036	D00024	91	100	LPC 20:0
PMC6477036	R04002	124	133	LPC 20:0
PMC6585800	R01001	170	179	LPC 20:0
PMC6477036	R03002	52	61	LPC 20:0
PMC5585246	R03017	54	67	LPC 20:0/0:0
PMC6585800	R01001	181	190	LPC 20:1
PMC6280838	R04001	15	24	LPC 20:2
PMC3206149	R00032	74	83	LPC 20:2
PMC6477036	R05010	47	56	LPC 20:2
PMC3206149	R03003	74	83	LPC 20:2
PMC3206149	R00032	85	94	LPC 20:3
PMC3206149	R02003	50	59	LPC 20:3
PMC5879957	R00029	352	361	LPC 20:3
PMC3206149	R00027	50	59	LPC 20:3
PMC3206149	R03003	85	94	LPC 20:3
PMC3206149	R03003	96	105	LPC 20:4
PMC3206149	R00032	96	105	LPC 20:4
PMC3206149	R04018	28	37	LPC 20:4
PMC3206149	R03003	110	119	LPC 20:5
PMC3206149	R00032	110	119	LPC 20:5
PMC6585800	R01003	235	244	LPC 22:0
PMC6585800	R01001	192	201	LPC 22:1
PMC6280838	R04001	26	35	LPC 22:5
PMC6585800	R03006	65	74	LPC 22:6
PMC3206149	R00027	65	74	LPC 22:6
PMC3206149	R02003	65	74	LPC 22:6
PMC6280838	M03022	179	188	LPC 22:6
PMC3206149	R06009	114	123	LPC 24:0
PMC3206149	R10000	145	154	LPC 24:0
PMC6930386	D00022	40	47	LPC 14:0
PMC7007789	D00008	30	37	LPC 15:0
PMC6930386	D00013	105	112	LPC 15:0
PMC6930386	D00021	83	90	LPC 16:0
PMC6930386	D00014	56	63	LPC 17:0
PMC6930386	D00022	52	59	LPC 18:0
PMC6930386	D00021	95	102	LPC 18:0
PMC6930386	D00016	30	37	LPC 18:0
PMC6930386	R03001	29	36	LPC 18:1
PMC6930386	R04002	23	30	LPC 18:1
PMC6930386	A02001	195	202	LPC 18:1
PMC6930386	D00014	65	72	LPC 18:1
PMC6930386	R04004	0	7	LPC 18:1
PMC6930386	D00013	114	121	LPC 18:1
PMC6930386	D00022	89	96	LPC 18:1
PMC6930386	D00015	44	51	LPC 18:1
PMC6930386	R02004	29	36	LPC 18:1
PMC6930386	D00003	102	109	LPC 18:1
PMC6930386	D00025	174	181	LPC 18:1
PMC6930386	D00012	67	74	LPC 18:1
PMC6930386	D00007	34	41	LPC 18:1
PMC6930386	D00011	56	63	LPC 18:1
PMC6930386	D00011	68	75	LPC 18:2
PMC6930386	D00025	165	172	LPC 18:2
PMC6930386	D00007	46	53	LPC 18:2
PMC6930386	D00003	93	100	LPC 18:2
PMC6930386	R03001	20	27	LPC 18:2
PMC6930386	D00013	123	130	LPC 18:2
PMC6930386	R04003	0	7	LPC 18:2
PMC6930386	D00012	80	87	LPC 18:2
PMC6930386	R04002	14	21	LPC 18:2
PMC6930386	D00015	56	63	LPC 18:2
PMC6930386	D00016	39	46	LPC 18:2
PMC6930386	R02004	38	45	LPC 18:2
PMC6930386	D00014	78	85	LPC 18:2
PMC6930386	A02001	186	193	LPC 18:2
PMC6930386	D00013	132	139	LPC 18:3
PMC6930386	R02004	69	76	LPC 20:0
PMC6930386	A02001	226	233	LPC 20:0
PMC6930386	D00003	133	140	LPC 20:0
PMC6930386	D00013	141	148	LPC 20:0
PMC6930386	D00025	205	212	LPC 20:0
PMC6930386	R03001	60	67	LPC 20:0
PMC6930386	A02001	213	220	LPC 20:1
PMC6930386	D00025	192	199	LPC 20:1
PMC6930386	R04002	36	43	LPC 20:1
PMC6930386	R03001	47	54	LPC 20:1
PMC6930386	D00003	120	127	LPC 20:1
PMC6930386	R02004	56	63	LPC 20:1
PMC6930386	R02004	47	54	LPC 20:2
PMC6930386	R03001	38	45	LPC 20:2
PMC6930386	A02001	204	211	LPC 20:2
PMC6930386	D00025	183	190	LPC 20:2
PMC6930386	D00003	111	118	LPC 20:2
PMC6930386	D00016	52	59	LPC 20:4
PMC6930386	D00013	154	161	LPC 22:6
PMC5810980	D00043	25	35	LPE 18:0
PMC5746113	R02005	0	10	LPE 18:1
PMC5810980	D00043	37	47	LPE 18:1
PMC5746113	R02004	63	73	LPE 18:1
PMC5564624	R03001	89	99	LPE 20:0
PMC5458273	D00008	45	59	LPE 20:0/0:0
PMC5458273	R04003	79	93	LPE 20:0/0:0
PMC3901282	R03027	120	130	LPE 20:2
PMC5514249	D00003	14	28	LPE 22:5/0:0
PMC6400388	M04007	121	129	LPE 17:1
PMC6585800	R02001	75	84	LPE 16:0
PMC5746113	D00022	14	23	LPE 18:1
PMC5746113	A02001	50	59	LPE 18:1
PMC5564624	R02005	140	149	LPE 20:0
PMC5458273	R04002	130	143	LPE 22:0/0:0
PMC5458273	R01006	188	201	LPE 22:0/0:0
PMC5458273	D00039	94	107	LPE 22:0/0:0
PMC5458273	D00038	188	201	LPE 22:0/0:0
PMC5458273	R01008	316	329	LPE 22:0/0:0
PMC5458273	R01008	162	175	LPE 22:0/0:0
PMC5458273	A00003	63	76	LPE 22:0/0:0
PMC6585800	R03006	76	85	LPE 22:6
PMC5800830	R00029	43	53	LPI 16:0
PMC5800830	D00028	156	166	LPI 16:1
PMC5800830	R00037	15	25	LPI 16:1
PMC5800830	D00028	39	49	LPI 16:1
PMC5800830	R00035	279	289	LPI 16:1
PMC5800830	D00039	150	160	LPI 16:1
PMC5800830	A05001	17	27	LPI 16:1
PMC5800830	R00015	135	145	LPI 16:1
PMC5800830	M04001	89	99	LPI 22:6
PMC5008363	D00025	0	4	FA 20:4(6,8,10,14);(OH)2
PMC6636917	R02030	68	72	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00034	94	98	FA 20:4(6,8,10,14);(OH)2
PMC3741366	D00033	20	24	FA 20:4(6,8,10,14);(OH)2
PMC6993102	D00025	0	4	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00024	0	4	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00030	125	129	FA 20:4(6,8,10,14);(OH)2
PMC6636917	R02031	29	33	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00032	267	271	FA 20:4(6,8,10,14);(OH)2
PMC6993102	D00024	0	4	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00032	77	81	FA 20:4(6,8,10,14);(OH)2
PMC6993102	D00027	69	73	FA 20:4(6,8,10,14);(OH)2
PMC6145583	D00100	49	53	FA 20:4(6,8,10,14);(OH)2
PMC5687638	D00017	33	37	FA 20:4(6,8,10,14);(OH)2
PMC6993102	D00026	10	14	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00031	31	35	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00033	129	133	FA 20:4(6,8,10,14);(OH)2
PMC3741366	D00034	28	32	FA 20:4(6,8,10,14);(OH)2
PMC6145583	D00033	247	251	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00032	174	178	FA 20:4(6,8,10,14);(OH)2
PMC5008363	D00028	56	60	FA 20:4(6,8,10,14);(OH)2
PMC6993102	D00028	25	29	FA 20:4(6,8,10,14);(OH)2
PMC7122646	D00023	59	71	LPA 20:0
PMC4830611	D00007	420	436	LPC 0:0/20:4
PMC5902797	D00026	55	67	LPC 14:0
PMC6614008	R01009	69	81	LPC 15:0
PMC3650341	D00016	133	145	LPC 16:0
PMC3650341	R07007	128	140	LPC 16:0
PMC7122646	A03002	187	199	LPC 16:0
PMC3650341	R00089	128	140	LPC 16:0
PMC3334549	R00019	0	12	LPC 16:0
PMC3650341	D00035	88	100	LPC 16:0
PMC7122646	D00021	65	77	LPC 16:0
PMC7122646	R03006	21	33	LPC 16:0
PMC6764690	R03006	125	137	LPC 16:0
PMC6521063	R03011	178	190	LPC 16:0
PMC6521063	R05006	76	88	LPC 16:0
PMC6764690	D00001	48	60	LPC 16:0
PMC6107458	R03007	258	270	LPC 16:0
PMC6764690	R02017	124	136	LPC 16:0
PMC4336096	D00008	37	49	LPC 16:0
PMC4336096	D00015	64	76	LPC 16:0
PMC6521063	D00037	22	34	LPC 16:0
PMC4336096	D00010	180	192	LPC 16:0
PMC4772092	D00006	113	125	LPC 16:0
PMC6764690	R02013	24	36	LPC 16:0
PMC6764690	R02002	99	111	LPC 16:0
PMC4336096	D00014	72	84	LPC 16:0
PMC4772092	R01013	289	301	LPC 16:0
PMC6764690	R02002	32	44	LPC 16:0
PMC4336096	D00011	37	49	LPC 16:0
PMC4336096	D00012	51	63	LPC 16:0
PMC6764690	R03005	125	137	LPC 16:0
PMC4772092	A00006	190	202	LPC 16:0
PMC4336096	D00010	64	76	LPC 16:0
PMC6764690	R02016	97	109	LPC 16:0
PMC4336096	D00009	0	12	LPC 16:0
PMC6107458	R03003	24	36	LPC 16:0
PMC6107458	A03004	34	46	LPC 16:0
PMC4336096	D00006	21	33	LPC 16:0
PMC4772092	R03004	42	54	LPC 16:0
PMC6764690	R03000	52	64	LPC 16:0
PMC6764690	R01007	31	43	LPC 16:0
PMC6521063	D00035	29	41	LPC 16:0
PMC6521063	D00036	84	96	LPC 16:0
PMC5528498	R02020	144	156	LPC 16:0
PMC6521063	R05005	150	162	LPC 16:0
PMC6764690	R01018	102	114	LPC 16:0
PMC6521063	D00033	14	26	LPC 16:0
PMC6521063	D00034	43	55	LPC 16:0
PMC6107458	D00026	33	45	LPC 16:0
PMC4336096	D00010	262	274	LPC 16:0
PMC6764690	R01019	88	100	LPC 16:0
PMC6764690	D00017	10	22	LPC 16:0
PMC4772092	R01010	196	208	LPC 16:0
PMC4336096	R05003	117	129	LPC 16:0
PMC6107458	D00024	93	105	LPC 16:0
PMC4336096	R04002	17	29	LPC 16:0
PMC5528498	D00029	113	125	LPC 16:0
PMC4772092	R01011	106	118	LPC 16:0
PMC4336096	D00013	26	38	LPC 16:0
PMC3650341	A00009	45	57	LPC 16:1
PMC3650341	R00089	114	126	LPC 16:1
PMC3650341	R09002	23	35	LPC 16:1
PMC3650341	R00116	23	35	LPC 16:1
PMC3650341	D00038	37	49	LPC 16:1
PMC3650341	D00035	116	128	LPC 16:1
PMC3650341	R07007	114	126	LPC 16:1
PMC6614008	R01009	135	147	LPC 16:1
PMC5902797	D00026	69	81	LPC 16:1
PMC6614008	R01009	149	161	LPC 17:0
PMC3334549	R01023	36	48	LPC 18:0
PMC3334549	R00019	17	29	LPC 18:0
PMC3650341	R00089	100	112	LPC 18:0
PMC3650341	D00035	102	114	LPC 18:0
PMC3650341	R07007	100	112	LPC 18:0
PMC3334549	R01017	80	92	LPC 18:0
PMC6614008	R01009	163	175	LPC 18:0
PMC5528498	D00029	130	142	LPC 18:1
PMC5528498	R02020	174	186	LPC 18:1
PMC2741455	R04010	278	298	LPC 18:2
PMC5179000	D00020	30	42	LPC 18:2
PMC5179000	R01004	51	63	LPC 18:2
PMC5529507	D00012	128	140	LPC 18:2
PMC5179000	A02001	28	40	LPC 18:2
PMC5179000	D00006	91	103	LPC 18:2
PMC5179000	R02002	63	75	LPC 18:2
PMC4602305	R02016	208	220	LPC 18:2
PMC5179000	D00003	26	38	LPC 18:2
PMC5179000	A02002	26	38	LPC 18:2
PMC5179000	D00009	38	50	LPC 18:2
PMC5382774	D00030	24	36	LPC 18:2
PMC6521063	D00030	93	105	LPC 18:2
PMC4772092	R01010	175	187	LPC 18:2
PMC4772092	R03004	21	33	LPC 18:2
PMC5179000	D00007	0	12	LPC 18:2
PMC4772092	A00006	173	185	LPC 18:2
PMC4772092	R01011	85	97	LPC 18:2
PMC4602305	D00040	45	57	LPC 18:2
PMC4772092	R01013	246	258	LPC 18:2
PMC5902797	D00026	83	95	LPC 20:0
PMC5382774	R03006	189	201	LPC 20:0
PMC5382774	D00030	52	64	LPC 20:0
PMC3719870	D00033	143	155	LPC 20:1
PMC5382774	D00030	38	50	LPC 20:1
PMC4602305	R02016	222	234	LPC 20:3
PMC4602305	D00040	59	71	LPC 20:3
PMC6107458	R03007	275	302	LPC 20:4
PMC6107458	R03003	41	68	LPC 20:4
PMC6107458	D00024	110	137	LPC 20:4
PMC6107458	D00026	50	77	LPC 20:4
PMC6107458	R03002	132	159	LPC 20:4
PMC6107458	R03007	127	154	LPC 20:4
PMC6107458	A03000	215	227	LPC 20:4
PMC6107458	A03004	48	60	LPC 20:4
PMC4336096	D00017	94	106	LPC 20:4
PMC4336096	D00018	98	110	LPC 20:4
PMC4336096	R05001	59	71	LPC 20:4
PMC4336096	A02002	10	22	LPC 20:4
PMC3719870	D00033	126	138	LPC 20:4
PMC4336096	R05003	18	30	LPC 20:4
PMC4336096	R04008	14	26	LPC 20:4
PMC4830611	D00007	223	239	LPC 20:4/0:0
PMC4602305	R02016	239	251	LPC 22:5
PMC4602305	D00040	76	88	LPC 22:5
PMC4431856	R02008	298	310	LPC 22:5
PMC4336096	D00022	23	35	LPC 22:6
